"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"1","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"2","OP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","<Null>","<Null>","<Null>","<Null>","perennial","site visit","","seed bank study"
"3","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","perennial","existing point inventory data","","SPFL2 D24"
"4","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"6","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","perennial","photo interpretation","",""
"7","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","426","PRGL2 - honey mesquite","ATCA2 - fourwing saltbush","SPFL2 - mesa dropseed","MUPO2 - bush muhly","perennial","existing point inventory data","","seed bank 53"
"8","WP","NM690","42X","42.2","Sandy","Deep sand","","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"9","WP","NM690","42X","42.2","Sandy","Deep sand","","624","","<Null>","","<Null>","perennial","photo interpretation","",""
"11","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","MUPO2 - bush muhly","<Null>","perennial","existing point inventory data","","seed bank 70"
"12","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","YUEL - soaptree yucca","MUPO2 - bush muhly","perennial","existing point inventory data","","seed bank 212, 229"
"13","OP","NM690","42X","42.2","Draw","Shallow sandy","Sandy","247","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"14","OP","NM690","42X","42.2","Shallow sandy","Sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"15","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","SPFL2 - mesa dropseed","ATCA2 - fourwing saltbush","PRGL2 - honey mesquite","VACO","perennial","existing point inventory data","","seed bank 235"
"16","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","YUEL - soaptree yucca","<Null>","perennial","existing point inventory data","","seed bank 212"
"17","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"20","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","240","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","","<Null>","perennial","site visit","","seed bank 71"
"21","47","NM690","42X","42.2","Sandy","Deep sand","<Null>","642","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"22","818","NM690","42X","42.2","Deep sand","Sandhills","","652","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"25","915","NM690","42X","42.2","Limestone hills","Hills","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","Seed bank study 288"
"26","915","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"27","916","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"28","930","NM690","42X","42.2","Drainage","Draw","","567","<Null>","","<Null>","","<Null>","<Null>","<Null>","<Null>"
"30","926","NM690","42X","42.2","Gravelly","Loamy","Limestone hills","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"31","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","","<Null>","perennial","existing point inventory data","","seed bank 219"
"32","OP","NM690","42X","42.2","Shallow sandy","Sandy","<Null>","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"34","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"36","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"38","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","642","","<Null>","","<Null>","perennial","photo interpretation","",""
"39","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"40","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","PRGL2 - honey mesquite","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Quadrat AR1, AR2"
"41","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"42","BJ","NM690","42X","42.2","Sandy","Loamy","Deep sand","640","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"43","WH","NM690","42X","42.2","Sandy","Shallow sandy","","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"45","ST","NM690","42X","42.2","Loamy","Clayey","Bottomland","421","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","or Gyp upland"
"55","OR","NM690","42X","42.2","Sandy","Deep sand","Drainage","624","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse points"
"56","OP","NM690","42X","42.2","Sandy","Drainage","<Null>","642","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse, Seedbank"
"57","WP","NM690","42X","42.2","Shallow sandy","Sandy","","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","<Null>","<Null>","perennial","existing point inventory data","","seed bank 68"
"58","OP","NM690","42X","42.2","Sandy","Drainage","<Null>","642","","<Null>","","<Null>","","<Null>","","also old state 500"
"60","BJ","NM690","42X","42.2","Sandy","<Null>","","241","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse point"
"61","SH","NM690","42X","42.2","Sandy","Shallow sandy","","642","","","","","perennial","photo interpretation","","state was 240 and 600"
"62","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","",""
"63","WH","NM690","42X","42.2","Loamy","Sandy","","124","","","","","perennial","existing point inventory data","","Traverse points"
"65","BJ","NM690","42X","42.2","Sandy","Shallow sandy","","214","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"1234","DR","NM690","42X","42.2","Sandy","Loamy","Gravelly","640","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"1236","DR","NM690","42X","42.2","Drainage","Loamy","Gravelly","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"66","BK","NM690","42X","42.2","Loamy","Clayey","Bottomland","647","","","","","perennial","existing point inventory data","","<Null>"
"67","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","247","<Null>","<Null>","<Null>","<Null>","perennial","<Null>","","5 polygons: Loamy 140, 2x147, 170, 710"
"68","NU","NM690","42X","42.2","Drainage","Draw","Gravelly","567","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"69","RG","NM690","42X","42.2","Hills","Gravelly loam","","536","<Null>","<Null>","<Null>","<Null>","perennial","site visit","","<Null>"
"70","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"72","WP","NM690","42X","42.2","Sandy","<Null>","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"73","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"74","WP","NM690","42X","42.2","Sandy","Shallow sandy","","420","MUPO2 - bush muhly","PRGL2 - honey mesquite","DAPU7 - fluffgrass","SPFL2 - mesa dropseed","perennial","site visit","","seed bank 62"
"78","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","640","","<Null>","","<Null>","<Null>","photo interpretation","",""
"79","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"80","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"82","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","421","BOER4 - black grama","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","<Null>","perennial","existing point inventory data","","Ecotone P9E L4, Seedbank 273"
"85","WP","NM690","42X","42.2","Shallow sandy","Sandy","","426","PRGL2 - honey mesquite","MUPO2 - bush muhly","DAPU7 - fluffgrass","GUSA2 - broom snakeweed","perennial","photo interpretation","","seed bank 215"
"88","WP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","<Null>","<Null>","","<Null>","<Null>","existing point inventory data","","traverse 240"
"89","WP","NM690","42X","42.2","Tank","<Null>","<Null>","12","","<Null>","","<Null>","<Null>","photo interpretation","",""
"90","WP","NM690","42X","42.2","Tank","<Null>","<Null>","12","<Null>","","","<Null>","<Null>","photo interpretation","","<Null>"
"91","WH","NM690","42X","42.2","Sandy","Shallow sandy","","214","<Null>","<Null>","","<Null>","perennial","existing point inventory data","","MURV 062204_6"
"92","WH","NM690","42X","42.2","Sandy","Shallow sandy","","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"94","WH","NM690","42X","42.2","Sandy","Shallow sandy","","214","","<Null>","","<Null>","<Null>","photo interpretation","",""
"95","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse JER JM3"
"96","OP","NM690","42X","42.2","Playette","Sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"97","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"101","ST","NM690","42X","42.2","Tank","<Null>","<Null>","12","","<Null>","","<Null>","<Null>","photo interpretation","",""
"102","ST","NM690","42X","42.2","Loamy","Sandy","Bottomland","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"103","ST","NM690","42X","42.2","Tank","<Null>","<Null>","12","","<Null>","","<Null>","<Null>","photo interpretation","",""
"104","ST","NM690","42X","42.2","Loamy","Sandy","Bottomland","420","","<Null>","","<Null>","perennial","photo interpretation","",""
"105","BJ","NM690","42X","42.2","Bottomland","Loamy","Clayey","247","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"109","SH","NM690","42X","42.2","Shallow sandy","Sandy","","426","BOER4 - black grama","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","<Null>","perennial","existing point inventory data","","seedbnk 274"
"110","SH","NM690","42X","42.2","Shallow sandy","Sandy","","421","PRGL2 - honey mesquite","BOER4 - black grama","DAPU7 - fluffgrass","YUEL - soaptree yucca","perennial","existing point inventory data","","seedbank 269"
"111","SH","NM690","42X","42.2","Playette","Bottomland","Sandy","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"113","SH","NM690","42X","42.2","Sandy","Shallow sandy","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"115","SH","NM690","42X","42.2","Sandy","Shallow sandy","","462","","<Null>","","<Null>","<Null>","existing point inventory data","","<Null>"
"116","OR","NM690","42X","42.2","Sandy","<Null>","","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"118","OR","NM690","42X","42.2","Sandy","<Null>","","640","","<Null>","","<Null>","perennial","photo interpretation","",""
"119","OR","NM690","42X","42.2","Sandy","Deep sand","","246","","<Null>","","<Null>","perennial","photo interpretation","","<Null>"
"120","OR","NM690","42X","42.2","Playette","Sandy","Bottomland","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"124","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","724","SCBR2 - burrograss","FLCE - tarbush","","<Null>","<Null>","existing point inventory data","","seed bank 41"
"125","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"126","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","427","PLMU3 - tobosagrass","FLCE - tarbush","ATCA2 - fourwing saltbush","LYBE - Berlandier's wolfberry","perennial","existing point inventory data","","seed bank 7, 35"
"127","ST","NM690","42X","42.2","Loamy","Draw","Bottomland","724","","<Null>","","<Null>","perennial","photo interpretation","",""
"129","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","427","PLMU3 - tobosagrass","SCBR2 - burrograss","FLCE - tarbush","ENDE","perennial","site visit","","seed bank 7"
"130","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","421","","<Null>","","<Null>","<Null>","photo interpretation","",""
"131","ST","NM690","42X","42.2","Clayey","Loamy","Bottomland","426","FLCE - tarbush","LYBE - Berlandier's wolfberry","SCBR2 - burrograss","MUPO2 - bush muhly","perennial","existing point inventory data","","seed bank 12"
"133","OR","NM690","42X","42.2","Sandy","Shallow sandy","","240","AMAC2","YUEL - soaptree yucca","PRGL2 - honey mesquite","PSSC6 - broom dalea","<Null>","existing point inventory data","","seed bank 206"
"135","OR","NM690","42X","42.2","Playette","Bottomland","Sandy","462","<Null>","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"136","OR","NM690","42X","42.2","Playette","Sandy","Bottomland","426","MUPO2 - bush muhly","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","AG - annual grasses","<Null>","photo interpretation","","<Null>"
"144","WH","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"150","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","421","","<Null>","","<Null>","<Null>","photo interpretation","",""
"151","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","BOER4 - black grama","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","YUEL - soaptree yucca","perennial","existing point inventory data","","seedbank 198; Quadrat B4"
"152","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"153","OP","NM690","42X","42.2","Playette","Bottomland","Sandy","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"154","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","421","","<Null>","","<Null>","<Null>","photo interpretation","",""
"155","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","<Null>","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"156","OP","NM690","42X","42.2","Sandy","Deep sand","Shallow sandy","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"157","OP","NM690","42X","42.2","Tank","<Null>","<Null>","12","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"160","OP","NM690","42X","42.2","Playette","Bottomland","Sandy","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"162","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"163","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"164","WH","NM690","42X","42.2","Sandy","Shallow sandy","","124","BOER4 - black grama","PRGL2 - honey mesquite","YUEL - soaptree yucca","<Null>","perennial","existing point inventory data","","MURV 062204_5; Traverse JER JM1"
"165","WH","NM690","42X","42.2","Sandy","Shallow sandy","","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"166","WH","NM690","42X","42.2","Sandy","Shallow sandy","","241","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Traverse JER JM2, MURV 062204_5"
"167","WH","NM690","42X","42.2","Sandy","Shallow sandy","","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"168","WH","NM690","42X","42.2","Sandy","Shallow sandy","","214","","<Null>","","<Null>","perennial","existing point inventory data","","SPFL2 G29"
"169","WH","NM690","42X","42.2","Sandy","Shallow sandy","","421","","<Null>","","<Null>","<Null>","photo interpretation","",""
"172","WH","NM690","42X","42.2","Sandy","Shallow sandy","","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"173","WH","NM690","42X","42.2","Sandy","Shallow sandy","","421","","<Null>","","<Null>","<Null>","photo interpretation","",""
"182","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","perennial","photo interpretation","",""
"187","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","462","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse 147"
"188","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"189","WP","NM690","42X","42.2","Sandy","Deep sand","","624","","<Null>","","<Null>","<Null>","existing point inventory data","","Traverse 244"
"190","WP","NM690","42X","42.2","Draw","Playette","Sandy","426","<Null>","<Null>","","<Null>","perennial","existing point inventory data","","MODISRUE 34"
"191","WP","NM690","42X","42.2","Draw","Playette","Sandy","426","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","seed bank 139"
"194","WH","NM690","42X","42.2","Sandy","Shallow sandy","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"195","WH","NM690","42X","42.2","Sandy","Shallow sandy","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"196","WH","NM690","42X","42.2","Sandy","<Null>","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"199","WH","NM690","42X","42.2","Sandy","Shallow sandy","","420","PRGL2 - honey mesquite","MUPO2 - bush muhly","SPFL2 - mesa dropseed","YUEL - soaptree yucca","perennial","site visit","","seed bank 222"
"202","WH","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"203","SH","NM690","42X","42.2","Playette","Bottomland","Sandy","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"204","SH","NM690","42X","42.2","Sandy","Shallow sandy","","624","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","SELE6 - plains bristlegrass","MUPO2 - bush muhly","perennial","existing point inventory data","","seedbank 280"
"205","WP","NM690","42X","42.2","Sandy","<Null>","","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"207","WP","NM690","42X","42.2","Shallow sandy","Sandy","","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"209","WP","NM690","42X","42.2","Sandy","Deep sand","","264","","<Null>","","<Null>","<Null>","photo interpretation","",""
"210","SH","NM690","42X","42.2","Sandy","Shallow sandy","","421","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"211","SH","NM690","42X","42.2","Sandy","<Null>","","214","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","MURV JER 1S, 4S, Quadrat H1,"
"212","SH","NM690","42X","42.2","Sandy","Shallow sandy","","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"213","SH","NM690","42X","42.2","Sandy","Shallow sandy","","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"214","SH","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"219","OR","NM690","42X","42.2","Playette","Sandy","Bottomland","426","","<Null>","","<Null>","perennial","photo interpretation","",""
"221","OR","NM690","42X","42.2","Sandy","<Null>","","624","","<Null>","","<Null>","<Null>","existing point inventory data","","Quadrats PBR3, PBR4"
"222","OR","NM690","42X","42.2","Sandy","<Null>","","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"223","OR","NM690","42X","42.2","Sandy","<Null>","","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"224","OR","NM690","42X","42.2","Sandy","Deep sand","Loamy","642","","<Null>","","<Null>","perennial","existing point inventory data","","SPFL2 D23"
"229","WP","NM690","42X","42.2","Sandy","Deep sand","","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"230","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"232","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"233","WP","NM690","42X","42.2","Sandy","Shallow sandy","","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","MUPO2 - bush muhly","SPCO4 - spike dropseed","perennial","existing point inventory data","","seed bank 57"
"234","WP","NM690","42X","42.2","Sandy","Shallow sandy","","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"236","OP","NM690","42X","42.2","Sandy","Deep sand","Shallow sandy","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"237","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"239","WP","NM690","42X","42.2","Sandy","Deep sand","","462","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","SELE6 - plains bristlegrass","<Null>","perennial","existing point inventory data","","Seedbank 77, Traverse 238"
"242","OP","NM690","42X","42.2","Tank","<Null>","<Null>","12","<Null>","<Null>","<Null>","<Null>","<Null>","existing point inventory data","","seedbank 238"
"244","WP","NM690","42X","42.2","Tank","<Null>","<Null>","12","<Null>","<Null>","<Null>","<Null>","<Null>","existing point inventory data","","seedbank 239"
"245","WP","NM690","42X","42.2","Sandy","Shallow sandy","","420","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","YUEL - soaptree yucca","SELE6 - plains bristlegrass","perennial","existing point inventory data","","seedbank 279"
"246","WP","NM690","42X","42.2","Sandy","Shallow sandy","","240","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","YUEL - soaptree yucca","PF - perennial forbs","perennial","existing point inventory data","","seedbank 254, SPFL D21"
"249","WP","NM690","42X","42.2","Sandy","Shallow sandy","","420","","<Null>","","<Null>","<Null>","photo interpretation","",""
"250","WP","NM690","42X","42.2","Sandy","<Null>","","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"251","WP","NM690","42X","42.2","Sandy","Shallow sandy","Deep sand","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"254","WP","NM690","42X","42.2","Sandy","Shallow sandy","","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"255","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"256","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"257","WP","NM690","42X","42.2","Sandy","<Null>","<Null>","420","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","PF - perennial forbs","GUSA2 - broom snakeweed","perennial","existing point inventory data","","seedbank 164"
"258","WP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","462","<Null>","<Null>","","<Null>","<Null>","existing point inventory data","",""
"259","OP","NM690","42X","42.2","Sandy","Playette","Bottomland","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"263","WP","NM690","42X","42.2","Sandy","Deep sand","","624","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","MUPO2 - bush muhly","<Null>","perennial","site visit","","seed bank 72"
"265","WP","NM690","42X","42.2","Sandy","<Null>","","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"267","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"270","WP","NM690","42X","42.2","Sandy","Deep sand","","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"271","WP","NM690","42X","42.2","Sandy","<Null>","","624","","<Null>","","<Null>","<Null>","existing point inventory data","","SPFL2 D28"
"273","WP","NM690","42X","42.2","Playette","Bottomland","Shallow sandy","246","AG - annual grasses","ARPU9 - purple threeawn","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","<Null>","existing point inventory data","","seed bank 125"
"277","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","","<Null>","","<Null>","<Null>","photo interpretation","",""
"278","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"279","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","214","","<Null>","","<Null>","<Null>","photo interpretation","",""
"280","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","214","","<Null>","","<Null>","<Null>","photo interpretation","",""
"281","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","BOER4 - black grama","SPFL2 - mesa dropseed","YUEL - soaptree yucca","PRGL2 - honey mesquite","perennial","existing point inventory data","","seedbank 119"
"282","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","","<Null>","","<Null>","perennial","photo interpretation","",""
"284","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","","<Null>","","<Null>","<Null>","photo interpretation","",""
"286","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"287","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","246","SPFL2 - mesa dropseed","ARPU9 - purple threeawn","","<Null>","perennial","existing point inventory data","","seedbank 208"
"289","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"290","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","BOER4 - black grama","Aristida - perennial threeawns","perennial","existing point inventory data","","MODISRUE 38"
"291","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","624","","<Null>","","<Null>","perennial","photo interpretation","",""
"292","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","462","PRGL2 - honey mesquite","GUSA2 - broom snakeweed","YUEL - soaptree yucca","<Null>","<Null>","existing point inventory data","","MURV 062204_4; Traverse 239"
"293","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","642","","<Null>","","<Null>","<Null>","photo interpretation","",""
"294","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","624","PRGL2 - honey mesquite","GUSA2 - broom snakeweed","","<Null>","perennial","existing point inventory data","","seedbank 209"
"295","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","240","SPFL2 - mesa dropseed","","","<Null>","perennial","existing point inventory data","","seedbank 202"
"297","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","214","","<Null>","","<Null>","<Null>","photo interpretation","",""
"299","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","420","","<Null>","","<Null>","<Null>","photo interpretation","",""
"300","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","462","","<Null>","","<Null>","perennial","existing point inventory data","","SPFL2 D20"
"301","OP","NM690","42X","42.2","Sandy","Deep sand","Shallow sandy","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"302","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"303","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","","<Null>","","<Null>","<Null>","photo interpretation","",""
"304","OP","NM690","42X","42.2","Playette","Sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"2117","DR","NM690","42X","42.2","Draw","Bottomland","Loamy","724","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","Traverse points"
"1380","DR","NM690","42X","42.2","Loamy","Draw","<Null>","124","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"1191","DR","NM690","42X","42.2","Sandy","Loamy","<Null>","240","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","Traverse points"
"1191","DR","NM690","42X","42.2","Draw","Bottomland","Sandy","462","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","Traverse points"
"1317","DR","NM690","42X","42.2","Loamy","Gyp upland","Sandy","214","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Traverse points"
